"Document_Name","Document_Code","Active_Document_Dates","Document_Type","Requires_Approval","Requires_Additional_Approval","Security","Days_Until_Document_Reminder_Sent_After_Original_Request","Student_Notification_Message_Content","Request_At_Will","Document_Owner_Logic","FA_Acceptance","Unsolicited_Process_Manual_Review","Verification_Reporting_Flag","NFR_Doc_Queue_Task","Document_Follow_up_Request_Message","Document_Cancellation_Script","Prev_Doc_Code","Hide_In_Self_Service_UI","No_Doc_Image"
"Alien Registration Card","CSU-ARNCard","","Other","true","false","LOW","14","If you are a permanent resident, political refugee, or other eligible non-citizen, please provide a copy (both sides) of your Alien Registration Card (I-151 or I-551).","true","","return true;","true","","false","Overdue Alien Registration Card","","","",""
"Birth Certificate","CSU-BirthCertificate","","Other","true","false","LOW","14","A copy of your Birth Certificate is needed to complete your financial aid application.  ","true","","return true;","true","","false","Overdue Birth Certificate","","","",""
"DD214","CSU-DD214","","Other","true","false","LOW","14","The Department of Veterans Affairs did not confirm that you are or will be a qualifying veteran for purposes of receiving federal student aid. If you believe you are or will be a qualifying veteran, contact the financial aid office and provide a copy of your DD214 (military separation form).","true","","return true;","true","","false","Overdue DD214","","","",""
"Entry/Exit  Papers","CSU-EEPapers","","Other","true","false","LOW","14","If you are a permanent resident, political refugee, or other eligible non-citizen, please provide a copy (both sides) of your I-94 or I-688 card.","true","","return true;","true","","false","Overdue Entry/Exit  Papers","","","",""
"Emancipated Minor Court Order","CSU-EmancipatedMinor","","Other","true","false","LOW","14","Provide court documents indicating you were an emancipated minor before age 18.","true","","return true;","true","","false","Overdue Emancipated Minor Court Order","","","",""
"Foster Care","CSU-FosterCare","","Other","true","false","LOW","14","You have indicated that you have been in foster care after age 13.  If you were in foster care after age 13, submit all relevant court documents.","true","","return true;","true","","false","Overdue Foster Care","","","",""
"KHEAA Verify 2022","CSU-KHEAAVerify-2022","","Other","false","false","LOW","14",".....DO NOT SUBMIT THIS DOCUMENT THROUGH THIS PORTAL....... You must visit www.kheaaverify.com/coppin or contact KHEAA by telephone at 1-855-272-8771 or by email at verification@kheaa.com. Each year, the U.S. Department of Education selects a percentage of financial aid applicants for a review of their financial aid information. This review is known as verification and will require certain information to be submitted in order for the financial aid process to be completed. Coppin State University has partnered with KHEAA to provide an online verification process for financial aid processing called KHEAAVerify. Students and parents can sign in and complete the online process at www.kheaaverify.com/coppin or contact KHEAA by telephone at 1-855-272-8771 or by email at verification@kheaa.com. The verification process is not optional and must be completed before any financial aid awards will be offered. The failure to submit verification documentation may delay disbursements.","true","","return true;","true","","false","Overdue KHEAA Verify","CSU/documents/CancelKHEAAStudent.groovy","","true",""
"KHEAA Verify 2023","CSU-KHEAAVerify-2023","","Other","false","false","LOW","14",".....DO NOT SUBMIT THIS DOCUMENT THROUGH THIS PORTAL....... You must visit www.kheaaverify.com/coppin or contact KHEAA by telephone at 1-855-272-8771 or by email at verification@kheaa.com. Each year, the U.S. Department of Education selects a percentage of financial aid applicants for a review of their financial aid information. This review is known as verification and will require certain information to be submitted in order for the financial aid process to be completed. Coppin State University has partnered with KHEAA to provide an online verification process for financial aid processing called KHEAAVerify. Students and parents can sign in and complete the online process at www.kheaaverify.com/coppin or contact KHEAA by telephone at 1-855-272-8771 or by email at verification@kheaa.com. The verification process is not optional and must be completed before any financial aid awards will be offered. The failure to submit verification documentation may delay disbursements.","true","","return true;","true","","false","Overdue KHEAA Verify","CSU/documents/CancelKHEAAStudent.groovy","","true",""
"Legal Guardianship","CSU-LegalGuard","","Other","true","false","LOW","14","Provide documentation indicating you were under the legal guardianship of someone other than your parent(s) before the age of 18.","true","","return true;","true","","false","Overdue Legal Guardianship","","","",""
"Certificate of Naturalization","CSU-Naturalization","","Other","true","false","LOW","14","A copy of your Certificate of Naturalization is needed to clear your Social Security Administration Citizenship Status.  The Certificate of Naturalization is (N-550 or N-570) issued by USCIS (or, prior to 1991, a federal or state court), or through administrative naturalization after December 1990 to those who are individually naturalized.","true","","return true;","true","","false","Overdue Certificate of Naturalization","","","",""
"Social Security Card","CSU-SSNCard","","Other","true","false","LOW","14","Your Social Security Card is required to complete your financial aid verification process.","true","","return true;","true","","false","Overdue Social Security Card","","","",""
"Ward of the Court","CSU-WardofCourt","","Other","true","false","LOW","14","You have indicated that you are either an orphan, ward of the court, and/or in foster care after age 13. If you are orphaned, submit copies of parent(s) death certificates. If you are a ward of the court or were in foster care after age 13, submit all relevant court documents.","true","","return true;","true","","false","Overdue Ward of the Court","","","",""
"Death Certificate","DeathCertificate","","Other","true","false","LOW","14","A death certificate is required to complete your financial aid verification process. The death certificate should be the official statement, signed by a physician, indicating the cause, date, and place of the person's death.","true","","return true;","true","","false","Overdue Death Certificate","","","",""
"State-issued Driver's License","DriversLicense","","Other","false","false","LOW","14","Your driver's license is required to complete your financial aid verification process. A driver's license is an official document used for identification that permits a specific individual to operate one or more types of motorized vehicles, such as a motorcycle, car, truck, or bus on a public road.","true","","return true;","true","STUDENT_IDENTIFICATION_DOCUMENT","false","Overdue State-issued Driver's License","","","",""
