"OPEID","State_of_Legal_Residence","Primary_Program_Modality","Charge_Types"
"00206800","AL","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","AL","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","NE","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","NE","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","AK","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","AK","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","NV","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","NV","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","AB","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","AB","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","NB","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","NB","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","AS","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","AS","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","NH","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","NH","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","AZ","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","AZ","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","NJ","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","NJ","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","AR","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","AR","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","NM","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","NM","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","BC","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","BC","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","NY","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","NY","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","CA","GROUND","Tuition,STRF,Taxes,Misc,Resource"
"00206800","CA","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","NF","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","NF","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","CN","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","CN","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","NL","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","NL","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","CO","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","CO","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","NC","GROUND","Tuition,Taxes,Misc,Resource"
