"Role_Code","Role_Description","Permission"
"ADVS_READ_ONLY","Advisement Read Only","At Will Repackage"
"ADVS_READ_ONLY","Advisement Read Only","Credit Balance Creator"
"ADVS_READ_ONLY","Advisement Read Only","Dashboard"
"ADVS_READ_ONLY","Advisement Read Only","Document Request Canceller"
"ADVS_READ_ONLY","Advisement Read Only","Document Requestor"
"ADVS_READ_ONLY","Advisement Read Only","Document Review Task"
"ADVS_READ_ONLY","Advisement Read Only","Edit Comments"
"ADVS_READ_ONLY","Advisement Read Only","Fund Eligibility Viewer"
"ADVS_READ_ONLY","Advisement Read Only","General Read-Only"
"ADVS_READ_ONLY","Advisement Read Only","Grant Over Payment Resolution Task Review"
"ADVS_READ_ONLY","Advisement Read Only","Grant Over Payment Task Review"
"ADVS_READ_ONLY","Advisement Read Only","ISIR Review Task"
"ADVS_READ_ONLY","Advisement Read Only","ISIR Verification Task"
"ADVS_READ_ONLY","Advisement Read Only","Isir Corrector"
"ADVS_READ_ONLY","Advisement Read Only","NFF Eval Review Task"
"ADVS_READ_ONLY","Advisement Read Only","NFF Forms Task Review"
"ADVS_READ_ONLY","Advisement Read Only","NFF Workflow"
"ADVS_READ_ONLY","Advisement Read Only","Origination File Update Review"
"ADVS_READ_ONLY","Advisement Read Only","Over Award Review Task"
"ADVS_READ_ONLY","Advisement Read Only","Professional Judgement Review Task"
"ADVS_READ_ONLY","Advisement Read Only","Re-Trigger SAP Evaluation"
"ADVS_READ_ONLY","Advisement Read Only","Reports"
"ADVS_READ_ONLY","Advisement Read Only","SAP Appeal Review Task"
"ADVS_READ_ONLY","Advisement Read Only","SAP Review Task"
"ADVS_READ_ONLY","Advisement Read Only","Student"
"ADVS_READ_ONLY","Advisement Read Only","Student History"
"ADVS_READ_ONLY","Advisement Read Only","Student Hold Modify"
"ADVS_READ_ONLY","Advisement Read Only","Student Holds"
"ADVS_READ_ONLY","Advisement Read Only","Student Letters"
"ADVS_READ_ONLY","Advisement Read Only","Student Summary"
"ADVS_READ_ONLY","Advisement Read Only","Task"
"ADVS_READ_ONLY","Advisement Read Only","Transfer Change of Program Evaluator"
"ADVS_READ_ONLY","Advisement Read Only","Transfer Overlapping Academic Years Evaluator"
"CSUADMINDISPLAY","CSU Admin Display Only","Administration"
"CSUADMINDISPLAY","CSU Admin Display Only","General Read-Only"
"CSUADMINDISPLAY","CSU Admin Display Only","Match Unmatched ISIRs"
"CSUADMINDISPLAY","CSU Admin Display Only","View Unmatched ISIRs"
"CSUITACCESS","Admin and Config access only","Administration"
"CSUITACCESS","Admin and Config access only","Configuration Administration"
"CSUITACCESS2","Display only all- download Config","Administration"
"CSUITACCESS2","Display only all- download Config","Administrative Relief"
"CSUITACCESS2","Display only all- download Config","At Will Repackage"
"CSUITACCESS2","Display only all- download Config","At Will Sap Status Updater"
"CSUITACCESS2","Display only all- download Config","COA Adjustment"
"CSUITACCESS2","Display only all- download Config","CommonLine Processing"
"CSUITACCESS2","Display only all- download Config","CommonLine View"
"CSUITACCESS2","Display only all- download Config","Configuration Administration"
"CSUITACCESS2","Display only all- download Config","Configure QC Hold"
"CSUITACCESS2","Display only all- download Config","Create R2T4"
"CSUITACCESS2","Display only all- download Config","Credit Balance Creator"
"CSUITACCESS2","Display only all- download Config","Credit Balance Modifier"
"CSUITACCESS2","Display only all- download Config","Credit Balance Not Sent Modifier"
"CSUITACCESS2","Display only all- download Config","DOE File Management"
"CSUITACCESS2","Display only all- download Config","Dashboard"
"CSUITACCESS2","Display only all- download Config","Disbursement Administrator"
"CSUITACCESS2","Display only all- download Config","Disbursement Override"
"CSUITACCESS2","Display only all- download Config","Document Request Canceller"
"CSUITACCESS2","Display only all- download Config","Document Requestor"
"CSUITACCESS2","Display only all- download Config","Document Review Task"
"CSUITACCESS2","Display only all- download Config","Edit Comments"
"CSUITACCESS2","Display only all- download Config","Edit Cost of Attendance"
"CSUITACCESS2","Display only all- download Config","Edit Fund Acceptance"
"CSUITACCESS2","Display only all- download Config","Enrollment Overrides"
"CSUITACCESS2","Display only all- download Config","FA History Request"
"CSUITACCESS2","Display only all- download Config","Fund Eligibility Viewer"
"CSUITACCESS2","Display only all- download Config","G5 Drawdown"
"CSUITACCESS2","Display only all- download Config","General Read-Only"
"CSUITACCESS2","Display only all- download Config","Grant Over Payment Resolution Task Review"
"CSUITACCESS2","Display only all- download Config","Grant Over Payment Task Review"
"CSUITACCESS2","Display only all- download Config","Grant Overpayment Create"
"CSUITACCESS2","Display only all- download Config","Hide R2T4"
"CSUITACCESS2","Display only all- download Config","ISIR Review Task"
"CSUITACCESS2","Display only all- download Config","ISIR Status Override"
"CSUITACCESS2","Display only all- download Config","ISIR Verification Task"
"CSUITACCESS2","Display only all- download Config","Isir Corrector"
"CSUITACCESS2","Display only all- download Config","Load Message File"
"CSUITACCESS2","Display only all- download Config","Manage Summer Term"
"CSUITACCESS2","Display only all- download Config","Match Unmatched ISIRs"
"CSUITACCESS2","Display only all- download Config","NFF Eval Review Task"
"CSUITACCESS2","Display only all- download Config","NFF Forms Task Review"
"CSUITACCESS2","Display only all- download Config","NFF Fund Override"
"CSUITACCESS2","Display only all- download Config","NFF Workflow"
"CSUITACCESS2","Display only all- download Config","Origination File Update Review"
"CSUITACCESS2","Display only all- download Config","Over Award Review Task"
"CSUITACCESS2","Display only all- download Config","Override Academic Years"
"CSUITACCESS2","Display only all- download Config","Override Anticipated Disbursement Date"
"CSUITACCESS2","Display only all- download Config","Override Disbursement Date"
"CSUITACCESS2","Display only all- download Config","Override Disbursing Criteria"
"CSUITACCESS2","Display only all- download Config","Override G5 Disbursement"
"CSUITACCESS2","Display only all- download Config","Override Plus Application Default Overpay Code"
"CSUITACCESS2","Display only all- download Config","Package Fund Edit"
"CSUITACCESS2","Display only all- download Config","Professional Judgement Review Task"
"CSUITACCESS2","Display only all- download Config","R2T4 Override Edit"
"CSUITACCESS2","Display only all- download Config","Re-Trigger SAP Evaluation"
"CSUITACCESS2","Display only all- download Config","Reports"
"CSUITACCESS2","Display only all- download Config","Role ISIR Code Updater"
"CSUITACCESS2","Display only all- download Config","SAIG Administration"
"CSUITACCESS2","Display only all- download Config","SAIG Errors"
"CSUITACCESS2","Display only all- download Config","SAP Appeal Review Task"
"CSUITACCESS2","Display only all- download Config","SAP Review Task"
"CSUITACCESS2","Display only all- download Config","SSN Viewer"
"CSUITACCESS2","Display only all- download Config","Sap Appeals Override"
"CSUITACCESS2","Display only all- download Config","Student"
"CSUITACCESS2","Display only all- download Config","Student History"
"CSUITACCESS2","Display only all- download Config","Student Hold Modify"
"CSUITACCESS2","Display only all- download Config","Student Holds"
"CSUITACCESS2","Display only all- download Config","Student Letters"
"CSUITACCESS2","Display only all- download Config","Student Summary"
"CSUITACCESS2","Display only all- download Config","System Management"
"CSUITACCESS2","Display only all- download Config","TD Client and VUG"
"CSUITACCESS2","Display only all- download Config","Task"
"CSUITACCESS2","Display only all- download Config","Transfer Change of Program Evaluator"
"CSUITACCESS2","Display only all- download Config","Transfer Overlapping Academic Years Evaluator"
"CSUITACCESS2","Display only all- download Config","Update Fund Award Year Closeout"
"CSUITACCESS2","Display only all- download Config","Updating Manual SAP Indicator"
"CSUITACCESS2","Display only all- download Config","Updating Professional Judgement Decision Status"
"CSUITACCESS2","Display only all- download Config","View Hidden R2T4"
"CSUITACCESS2","Display only all- download Config","View Unmatched ISIRs"
"CSUITACCESS2","Display only all- download Config","XML Viewer"
"CSUITACCESS3","View pages and config","Administration"
"CSUITACCESS3","View pages and config","CommonLine View"
"CSUITACCESS3","View pages and config","Configuration Administration"
"CSUITACCESS3","View pages and config","Dashboard"
"CSUITACCESS3","View pages and config","Document Review Task"
"CSUITACCESS3","View pages and config","FA History Request"
"CSUITACCESS3","View pages and config","Fund Eligibility Viewer"
"CSUITACCESS3","View pages and config","Grant Over Payment Resolution Task Review"
"CSUITACCESS3","View pages and config","Grant Over Payment Task Review"
"CSUITACCESS3","View pages and config","ISIR Review Task"
"CSUITACCESS3","View pages and config","NFF Eval Review Task"
"CSUITACCESS3","View pages and config","NFF Forms Task Review"
"CSUITACCESS3","View pages and config","Reports"
"CSUITACCESS3","View pages and config","SAIG Administration"
"CSUITACCESS3","View pages and config","SAIG Errors"
"CSUITACCESS3","View pages and config","SSN Viewer"
"CSUITACCESS3","View pages and config","Student"
"CSUITACCESS3","View pages and config","Student History"
"CSUITACCESS3","View pages and config","Student Summary"
"CSUITACCESS3","View pages and config","View Unmatched ISIRs"
"CSUITACCESS3","View pages and config","XML Viewer"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Administrative Relief"
"CSUSUPERUSERSAIG","Super User SAIG Admin","At Will Repackage"
"CSUSUPERUSERSAIG","Super User SAIG Admin","At Will Sap Status Updater"
"CSUSUPERUSERSAIG","Super User SAIG Admin","COA Adjustment"
"CSUSUPERUSERSAIG","Super User SAIG Admin","CommonLine Processing"
"CSUSUPERUSERSAIG","Super User SAIG Admin","CommonLine View"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Configuration Administration"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Configure QC Hold"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Create R2T4"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Credit Balance Creator"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Credit Balance Modifier"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Credit Balance Not Sent Modifier"
"CSUSUPERUSERSAIG","Super User SAIG Admin","DOE File Management"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Dashboard"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Dashboard Supervisor"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Disbursement Administrator"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Disbursement Override"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Document Request Canceller"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Document Requestor"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Document Review Task"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Edit Comments"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Edit Cost of Attendance"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Edit Fund Acceptance"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Enrollment Overrides"
"CSUSUPERUSERSAIG","Super User SAIG Admin","FA History Request"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Fund Eligibility Viewer"
"CSUSUPERUSERSAIG","Super User SAIG Admin","G5 Drawdown"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Grant Over Payment Resolution Task Review"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Grant Over Payment Task Review"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Grant Overpayment Create"
"CSUSUPERUSERSAIG","Super User SAIG Admin","ISIR Review Task"
"CSUSUPERUSERSAIG","Super User SAIG Admin","ISIR Status Override"
"CSUSUPERUSERSAIG","Super User SAIG Admin","ISIR Verification Task"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Isir Corrector"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Load Message File"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Manage Summer Term"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Match Unmatched ISIRs"
"CSUSUPERUSERSAIG","Super User SAIG Admin","NFF Eval Review Task"
"CSUSUPERUSERSAIG","Super User SAIG Admin","NFF Forms Task Review"
"CSUSUPERUSERSAIG","Super User SAIG Admin","NFF Fund Override"
"CSUSUPERUSERSAIG","Super User SAIG Admin","NFF Workflow"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Origination File Update Review"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Over Award Review Task"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Override Academic Years"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Override Anticipated Disbursement Date"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Override Disbursement Date"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Override Disbursing Criteria"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Override G5 Disbursement"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Override Plus Application Default Overpay Code"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Package Fund Edit"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Professional Judgement Review Task"
"CSUSUPERUSERSAIG","Super User SAIG Admin","R2T4 Override Edit"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Re-Trigger SAP Evaluation"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Reports"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Role ISIR Code Updater"
"CSUSUPERUSERSAIG","Super User SAIG Admin","SAIG Errors"
"CSUSUPERUSERSAIG","Super User SAIG Admin","SAP Appeal Review Task"
"CSUSUPERUSERSAIG","Super User SAIG Admin","SAP Review Task"
"CSUSUPERUSERSAIG","Super User SAIG Admin","SSN Viewer"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Sap Appeals Override"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Student"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Student History"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Student Hold Modify"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Student Holds"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Student Letters"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Student Summary"
"CSUSUPERUSERSAIG","Super User SAIG Admin","System Management"
"CSUSUPERUSERSAIG","Super User SAIG Admin","TD Client and VUG"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Task"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Transfer Change of Program Evaluator"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Transfer Overlapping Academic Years Evaluator"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Update Fund Award Year Closeout"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Updating Manual SAP Indicator"
"CSUSUPERUSERSAIG","Super User SAIG Admin","Updating Professional Judgement Decision Status"
"CSUSUPERUSERSAIG","Super User SAIG Admin","View Unmatched ISIRs"
"CSUSUPERUSERSAIG","Super User SAIG Admin","XML Viewer"
"FA_STAFF","Finanical Aid Staff","At Will Repackage"
"FA_STAFF","Finanical Aid Staff","At Will Sap Status Updater"
"FA_STAFF","Finanical Aid Staff","Credit Balance Creator"
"FA_STAFF","Finanical Aid Staff","Dashboard"
"FA_STAFF","Finanical Aid Staff","Document Request Canceller"
"FA_STAFF","Finanical Aid Staff","Document Requestor"
"FA_STAFF","Finanical Aid Staff","Document Review Task"
"FA_STAFF","Finanical Aid Staff","Edit Comments"
"FA_STAFF","Finanical Aid Staff","Fund Eligibility Viewer"
"FA_STAFF","Finanical Aid Staff","G5 Drawdown"
"FA_STAFF","Finanical Aid Staff","Grant Over Payment Resolution Task Review"
"FA_STAFF","Finanical Aid Staff","Grant Over Payment Task Review"
"FA_STAFF","Finanical Aid Staff","ISIR Review Task"
"FA_STAFF","Finanical Aid Staff","ISIR Status Override"
"FA_STAFF","Finanical Aid Staff","ISIR Verification Task"
"FA_STAFF","Finanical Aid Staff","Isir Corrector"
"FA_STAFF","Finanical Aid Staff","NFF Eval Review Task"
"FA_STAFF","Finanical Aid Staff","NFF Forms Task Review"
"FA_STAFF","Finanical Aid Staff","NFF Workflow"
"FA_STAFF","Finanical Aid Staff","Origination File Update Review"
"FA_STAFF","Finanical Aid Staff","Over Award Review Task"
"FA_STAFF","Finanical Aid Staff","Professional Judgement Review Task"
"FA_STAFF","Finanical Aid Staff","Re-Trigger SAP Evaluation"
"FA_STAFF","Finanical Aid Staff","Reports"
"FA_STAFF","Finanical Aid Staff","SAP Appeal Review Task"
"FA_STAFF","Finanical Aid Staff","SAP Review Task"
"FA_STAFF","Finanical Aid Staff","Student"
"FA_STAFF","Finanical Aid Staff","Student History"
"FA_STAFF","Finanical Aid Staff","Student Hold Modify"
"FA_STAFF","Finanical Aid Staff","Student Holds"
"FA_STAFF","Finanical Aid Staff","Student Letters"
"FA_STAFF","Finanical Aid Staff","Student Summary"
"FA_STAFF","Finanical Aid Staff","Task"
"FA_STAFF","Finanical Aid Staff","Transfer Change of Program Evaluator"
"FA_STAFF","Finanical Aid Staff","Transfer Overlapping Academic Years Evaluator"
"SAIG_ADMIN","SAIG Administrator","Administration"
"SAIG_ADMIN","SAIG Administrator","Match Unmatched ISIRs"
"SAIG_ADMIN","SAIG Administrator","SAIG Errors"
"SAIG_ADMIN","SAIG Administrator","View Unmatched ISIRs"
"SUPER_USER","Super User Access","Administration"
"SUPER_USER","Super User Access","Administrative Relief"
"SUPER_USER","Super User Access","At Will Repackage"
"SUPER_USER","Super User Access","At Will Sap Status Updater"
"SUPER_USER","Super User Access","COA Adjustment"
"SUPER_USER","Super User Access","CommonLine Processing"
"SUPER_USER","Super User Access","CommonLine View"
"SUPER_USER","Super User Access","Configuration Administration"
"SUPER_USER","Super User Access","Configure QC Hold"
"SUPER_USER","Super User Access","Create R2T4"
"SUPER_USER","Super User Access","Credit Balance Creator"
"SUPER_USER","Super User Access","Credit Balance Modifier"
"SUPER_USER","Super User Access","Credit Balance Not Sent Modifier"
"SUPER_USER","Super User Access","DOE File Management"
"SUPER_USER","Super User Access","Dashboard"
"SUPER_USER","Super User Access","Dashboard Supervisor"
"SUPER_USER","Super User Access","Disbursement Administrator"
"SUPER_USER","Super User Access","Disbursement Override"
"SUPER_USER","Super User Access","Document Request Canceller"
"SUPER_USER","Super User Access","Document Requestor"
"SUPER_USER","Super User Access","Document Review Task"
"SUPER_USER","Super User Access","Edit Comments"
"SUPER_USER","Super User Access","Edit Cost of Attendance"
"SUPER_USER","Super User Access","Edit Fund Acceptance"
"SUPER_USER","Super User Access","Enrollment Overrides"
"SUPER_USER","Super User Access","FA History Request"
"SUPER_USER","Super User Access","Fund Eligibility Viewer"
"SUPER_USER","Super User Access","G5 Drawdown"
"SUPER_USER","Super User Access","Grant Over Payment Resolution Task Review"
"SUPER_USER","Super User Access","Grant Over Payment Task Review"
"SUPER_USER","Super User Access","Grant Overpayment Create"
"SUPER_USER","Super User Access","ISIR Review Task"
"SUPER_USER","Super User Access","ISIR Status Override"
"SUPER_USER","Super User Access","ISIR Verification Task"
"SUPER_USER","Super User Access","Isir Corrector"
"SUPER_USER","Super User Access","Load Message File"
"SUPER_USER","Super User Access","Manage Summer Term"
"SUPER_USER","Super User Access","Match Unmatched ISIRs"
"SUPER_USER","Super User Access","NFF Eval Review Task"
"SUPER_USER","Super User Access","NFF Forms Task Review"
"SUPER_USER","Super User Access","NFF Fund Override"
"SUPER_USER","Super User Access","NFF Workflow"
"SUPER_USER","Super User Access","Origination File Update Review"
"SUPER_USER","Super User Access","Over Award Review Task"
"SUPER_USER","Super User Access","Override Academic Years"
"SUPER_USER","Super User Access","Override Anticipated Disbursement Date"
"SUPER_USER","Super User Access","Override Disbursement Date"
"SUPER_USER","Super User Access","Override Disbursing Criteria"
"SUPER_USER","Super User Access","Override G5 Disbursement"
"SUPER_USER","Super User Access","Override Plus Application Default Overpay Code"
"SUPER_USER","Super User Access","Package Fund Edit"
"SUPER_USER","Super User Access","Professional Judgement Review Task"
"SUPER_USER","Super User Access","R2T4 Override Edit"
"SUPER_USER","Super User Access","Re-Trigger SAP Evaluation"
"SUPER_USER","Super User Access","Reports"
"SUPER_USER","Super User Access","Role ISIR Code Updater"
"SUPER_USER","Super User Access","SAIG Administration"
"SUPER_USER","Super User Access","SAIG Errors"
"SUPER_USER","Super User Access","SAP Appeal Review Task"
"SUPER_USER","Super User Access","SAP Review Task"
"SUPER_USER","Super User Access","SSN Viewer"
"SUPER_USER","Super User Access","Sap Appeals Override"
"SUPER_USER","Super User Access","Student"
"SUPER_USER","Super User Access","Student History"
"SUPER_USER","Super User Access","Student Hold Modify"
"SUPER_USER","Super User Access","Student Holds"
"SUPER_USER","Super User Access","Student Letters"
"SUPER_USER","Super User Access","Student Summary"
"SUPER_USER","Super User Access","System Management"
"SUPER_USER","Super User Access","TD Client and VUG"
"SUPER_USER","Super User Access","Task"
"SUPER_USER","Super User Access","Transfer Change of Program Evaluator"
"SUPER_USER","Super User Access","Transfer Overlapping Academic Years Evaluator"
"SUPER_USER","Super User Access","Update Fund Award Year Closeout"
"SUPER_USER","Super User Access","Updating Manual SAP Indicator"
"SUPER_USER","Super User Access","Updating Professional Judgement Decision Status"
"SUPER_USER","Super User Access","View Unmatched ISIRs"
"SUPER_USER","Super User Access","XML Viewer"
"SYS_ADMIN","System Administrator","Administration"
"SYS_ADMIN","System Administrator","Administrative Relief"
"SYS_ADMIN","System Administrator","At Will Repackage"
"SYS_ADMIN","System Administrator","At Will Sap Status Updater"
"SYS_ADMIN","System Administrator","COA Adjustment"
"SYS_ADMIN","System Administrator","Configuration Administration"
"SYS_ADMIN","System Administrator","Configure QC Hold"
"SYS_ADMIN","System Administrator","Create R2T4"
"SYS_ADMIN","System Administrator","Credit Balance Creator"
"SYS_ADMIN","System Administrator","Credit Balance Modifier"
"SYS_ADMIN","System Administrator","Credit Balance Not Sent Modifier"
"SYS_ADMIN","System Administrator","Dashboard"
"SYS_ADMIN","System Administrator","Dashboard Supervisor"
"SYS_ADMIN","System Administrator","Disbursement Administrator"
"SYS_ADMIN","System Administrator","Disbursement Override"
"SYS_ADMIN","System Administrator","Document Request Canceller"
"SYS_ADMIN","System Administrator","Document Requestor"
"SYS_ADMIN","System Administrator","Document Review Task"
"SYS_ADMIN","System Administrator","Edit Comments"
